Quartier,Zone,Code_Postal
Plateau,Dakar Centre,10000
Medina,Dakar Centre,20000
Gueule Tapée,Dakar Centre,20000
Fass,Dakar Centre,20000
Reubeuss,Dakar Centre,20000
Sandaga,Dakar Centre,10000
Grand Dakar,Grand Dakar,20000
Niary Tally,Grand Dakar,20000
Biscuiterie,Grand Dakar,20000
Parcelles Assainies,Banlieue Ouest,21000
Yoff,Almadies,12000
Ngor,Almadies,12000
Almadies,Almadies,12000
Ouakam,Almadies,12000
Mamelles,Almadies,12000
Point E,Fann / Point E,10700
Mermoz,Fann / Mermoz,12000
Sacré-Cœur,Fann / Liberté,12000
Liberté 6,Fann / Liberté,12000
Grand Yoff,Grand Yoff,15000
Patte d'Oie,Grand Yoff,15000
HLM Grand Yoff,Grand Yoff,15000
Pikine,Banlieue Est,16000
Guédiawaye,Banlieue Est,20000
Thiaroye,Banlieue Est,20000
Dalifort,Banlieue Est,20000
Diamaguene,Banlieue Est,30000
Keur Massar,Banlieue Est,30000
Rufisque,Banlieue Est,20000
Bargny,Banlieue Est,20100
Sangalkam,Banlieue Est,20400
Diamniadio,Banlieue Est,20000
Cambérène,Almadies,10000
Malika,Banlieue Est,20000
Tivaouane Peulh,Banlieue Est,20000
Sébikotane,Banlieue Est,20000
